time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-11T13:57:46.040Z,19.3611666666667,-155.251166666667,28.46,3.18,ml,57,97,,0.13,hv,hv73714677,2024-01-13T07:54:56.840Z,"9 km SSW of Volcano, Hawaii",earthquake,0.29,0.32,0.236562094181813,33,reviewed,hv,hv
2024-01-11T10:40:44.058Z,61.5743,-149.9782,32.4,2.5,ml,,,,0.37,ak,ak024id3tit,2024-01-11T21:35:39.605Z,"6 km NNW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-01-11T09:20:26.809Z,36.5061,70.5994,206.561,6.4,mww,107,32,3.114,1.15,us,us6000m31m,2024-01-12T09:27:07.814Z,"44 km SSW of Jurm, Afghanistan",earthquake,5.97,4.786,0.049,40,reviewed,us,us
2024-01-11T07:26:05.070Z,36.5746,70.9123,208.118,4.1,mb,49,177,2.982,0.49,us,us6000m31a,2024-01-11T09:43:14.557Z,"32 km SSE of Jurm, Afghanistan",earthquake,9.23,9.16,0.091,34,reviewed,us,us
2024-01-11T06:53:21.785Z,64.4103,-17.455,10,4.5,mb,46,105,1.705,0.52,us,us6000m318,2024-01-11T08:41:42.878Z,"109 km W of Höfn, Iceland",earthquake,5.68,1.914,0.084,45,reviewed,us,us
2024-01-11T04:54:31.350Z,-26.4164,-141.2805,10,5.2,mb,50,58,11.666,0.65,us,us6000m30y,2024-01-11T05:12:43.040Z,"South Pacific Ocean",earthquake,12.36,1.86,0.037,245,reviewed,us,us
2024-01-11T03:35:30.253Z,31.604,-104.534,6.4561,2.5,ml,16,85,0.1,0.2,tx,tx2024asoe,2024-01-12T15:51:53.829Z,"65 km SSW of Whites City, New Mexico",earthquake,1.923107568,2.268699595,0.1,18,reviewed,tx,tx
2024-01-11T00:46:52.860Z,36.4211667,-121.9266667,7.1,2.92,md,65,168,0.0645,0.13,nc,nc73987616,2024-01-12T10:21:10.308Z,"13 km N of Point Sur, CA",earthquake,0.32,0.52,0.122,124,reviewed,nc,nc
2024-01-10T23:56:16.277Z,-7.4071,156.0585,35,4.8,mb,36,65,4.345,0.85,us,us6000m2zu,2024-01-11T00:14:20.040Z,"115 km NW of Gizo, Solomon Islands",earthquake,10.7,1.93,0.103,29,reviewed,us,us
2024-01-10T23:54:45.794Z,-5.9111,-76.7162,115.285,5,mb,57,134,4.082,0.64,us,us6000m2zs,2024-01-11T01:19:38.654Z,"31 km ENE of Moyobamba, Peru",earthquake,10.66,5.899,0.043,177,reviewed,us,us
